I,30,6.91244%
the,16,3.68664%
was,14,3.22581%
a,13,2.99539%
to,12,2.76498%
and,12,2.76498%
dog,8,1.84332%
that,7,1.6129%
have,7,1.6129%
General,7,1.6129%
we,6,1.38249%
very,6,1.38249%
man,6,1.38249%
Miles,6,1.38249%
you,5,1.15207%
went,5,1.15207%
not,5,1.15207%
it,5,1.15207%
he,5,1.15207%
hall,5,1.15207%
for,5,1.15207%
when,4,0.921659%
three,4,0.921659%
said,4,0.921659%
of,4,0.921659%
into,4,0.921659%
dollars,4,0.921659%
did,4,0.921659%
came,4,0.921659%
with,3,0.691244%
were,3,0.691244%
together,3,0.691244%
remember,3,0.691244%
my,3,0.691244%
money,3,0.691244%
in,3,0.691244%
his,3,0.691244%
him,3,0.691244%
had,3,0.691244%
beautiful,3,0.691244%
always,3,0.691244%
The,3,0.691244%
He,3,0.691244%
why,2,0.460829%
well,2,0.460829%
up,2,0.460829%
take,2,0.460829%
so,2,0.460829%
shall,2,0.460829%
see,2,0.460829%
s,2,0.460829%
room,2,0.460829%
poor,2,0.460829%
playing,2,0.460829%
nice,2,0.460829%
must,2,0.460829%
me,2,0.460829%
looking,2,0.460829%
knew,2,0.460829%
hungry,2,0.460829%
how,2,0.460829%
house,2,0.460829%
hotel,2,0.460829%
honest,2,0.460829%
go,2,0.460829%
friend,2,0.460829%
earned,2,0.460829%
by,2,0.460829%
but,2,0.460829%
at,2,0.460829%
an,2,0.460829%
We,2,0.460829%
Now,2,0.460829%
your,1,0.230415%
writer,1,0.230415%
worked,1,0.230415%
wore,1,0.230415%
will,1,0.230415%
which,1,0.230415%
where,1,0.230415%
want,1,0.230415%
walks,1,0.230415%
walking,1,0.230415%
uniform,1,0.230415%
took,1,0.230415%
too,1,0.230415%
tired,1,0.230415%
time,1,0.230415%
thought,1,0.230415%
these,1,0.230415%
there,1,0.230415%
then,1,0.230415%
tell,1,0.230415%
t,1,0.230415%
streets,1,0.230415%
story,1,0.230415%
something,1,0.230415%
somebody,1,0.230415%
sofa,1,0.230415%
small,1,0.230415%
sitting,1,0.230415%
show,1,0.230415%
sell,1,0.230415%
say,1,0.230415%
sat,1,0.230415%
round,1,0.230415%
rest,1,0.230415%
read,1,0.230415%
ran,1,0.230415%
quickly,1,0.230415%
policy,1,0.230415%
play,1,0.230415%
pictures,1,0.230415%
paid,1,0.230415%
out,1,0.230415%
once,1,0.230415%
on,1,0.230415%
old,1,0.230415%
often,1,0.230415%
now,1,0.230415%
nothing,1,0.230415%
newspapers,1,0.230415%
new,1,0.230415%
never,1,0.230415%
needed,1,0.230415%
need,1,0.230415%
much,1,0.230415%
minutes,1,0.230415%
met,1,0.230415%
looked,1,0.230415%
lived,1,0.230415%
life,1,0.230415%
later,1,0.230415%
last,1,0.230415%
know,1,0.230415%
is,1,0.230415%
hour,1,0.230415%
honesty,1,0.230415%
here,1,0.230415%
help,1,0.230415%
has,1,0.230415%
happy,1,0.230415%
great,1,0.230415%
get,1,0.230415%
friends,1,0.230415%
few,1,0.230415%
everything,1,0.230415%
evening,1,0.230415%
even,1,0.230415%
down,1,0.230415%
don,1,0.230415%
do,1,0.230415%
days,1,0.230415%
could,1,0.230415%
can,1,0.230415%
called,1,0.230415%
bread,1,0.230415%
both,1,0.230415%
books,1,0.230415%
big,1,0.230415%
best,1,0.230415%
believed,1,0.230415%
began,1,0.230415%
been,1,0.230415%
became,1,0.230415%
be,1,0.230415%
back,1,0.230415%
asked,1,0.230415%
ask,1,0.230415%
anything,1,0.230415%
answer,1,0.230415%
angry,1,0.230415%
along,1,0.230415%
all,1,0.230415%
ago,1,0.230415%
What,1,0.230415%
Washington,1,0.230415%
Then,1,0.230415%
Ten,1,0.230415%
Once,1,0.230415%
Never,1,0.230415%
It,1,0.230415%
Is,1,0.230415%
For,1,0.230415%
Do,1,0.230415%
At,1,0.230415%
And,1,0.230415%
A,1,0.230415%
